stair.thisTrialN,stair.stepSize,stair.intensity,Fixation.started,grating.started,key_resp.started,Fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,2,10.0,13.965935374999844,14.523708916000032,14.523708916000032,14.528767124999831,14.811141207999754,right,10.0,1,1,0.6339531670000724,1,001,2023-09-01_11h47.00.037,Adaptive_Staircase,2023.1.3,None,
1,2,8.0,15.220312832999753,15.688863082999887,15.688863082999887,15.711107499999798,15.978565999999773,left,-8.0,1,1,0.46028637500012337,1,001,2023-09-01_11h47.00.037,Adaptive_Staircase,2023.1.3,None,
2,2,6.0,16.167437999999947,16.655811290999736,16.655811290999736,16.661789082999803,16.94528745799971,left,-6.0,1,1,0.35324766700023247,1,001,2023-09-01_11h47.00.037,Adaptive_Staircase,2023.1.3,None,
3,2,4.0,17.022522915999616,17.505595332999746,17.505595332999746,17.51171075000002,17.795417040999837,right,4.0,1,1,0.3268835410003703,1,001,2023-09-01_11h47.00.037,Adaptive_Staircase,2023.1.3,None,
4,2,2.0,17.850709625000036,18.339291499999945,18.339291499999945,18.34535991599978,18.628746082999896,right,2.0,1,1,0.3840629999999692,1,001,2023-09-01_11h47.00.037,Adaptive_Staircase,2023.1.3,None,
5,2,1.0,18.734982874999787,19.222552540999914,19.222552540999914,19.228674707999744,19.512105625000004,left,-1.0,1,1,0.36699716700013596,1,001,2023-09-01_11h47.00.037,Adaptive_Staircase,2023.1.3,None,
6,2,1.0,19.60060999999996,20.08957916600002,20.08957916600002,20.09653708299993,20.37876179099976,right,1.0,1,1,0.34424475000014354,1,001,2023-09-01_11h47.00.037,Adaptive_Staircase,2023.1.3,None,
7,1,1.0,20.450231540999994,20.939142415999868,20.939142415999868,20.94528199999968,21.22868108299963,right,1.0,0,0,0.31346720800002004,1,001,2023-09-01_11h47.00.037,Adaptive_Staircase,2023.1.3,None,
8,1,2.0,21.267361415999858,21.755789541000013,21.755789541000013,21.76196058300002,22.045120708000013,right,2.0,1,1,0.5235751669997626,1,001,2023-09-01_11h47.00.037,Adaptive_Staircase,2023.1.3,None,
9,1,2.0,22.300135332999616,22.789285082999868,22.789285082999868,22.795938957999624,23.078868540999792,left,-2.0,1,1,0.4165467500001796,1,001,2023-09-01_11h47.00.037,Adaptive_Staircase,2023.1.3,None,
10,1,2.0,23.216852540999753,23.70595670800003,23.70595670800003,23.711926208000023,23.994985541000005,left,-2.0,1,1,0.40299287500010905,1,001,2023-09-01_11h47.00.037,Adaptive_Staircase,2023.1.3,None,
