stair.thisTrialN,stair.stepSize,stair.intensity,Fixation.started,grating.started,key_resp.started,Fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
34,0.5,1.5,41.227256874999966,41.71710887500012,41.71710887500012,41.71710887500012,42.01147949999995,right,1.5,1,1,0.4110743750002257,3,001,2023-09-01_11h59.14.027,Adaptive_Staircase,2023.1.3,None,
35,0.5,1.5,42.13966729200001,42.62743899999987,42.62743899999987,42.63344258400002,42.91668179199996,left,-1.5,1,1,0.3398152909999226,3,001,2023-09-01_11h59.14.027,Adaptive_Staircase,2023.1.3,None,
36,0.5,1.0,42.978105374999814,43.467517125000086,43.467517125000086,43.467517125000086,,left,-1.0,0,0,0.25539733200002956,3,001,2023-09-01_11h59.14.027,Adaptive_Staircase,2023.1.3,None,
37,0.5,1.5,43.73783779199994,44.22742333399992,44.22742333399992,44.233454333999816,44.528270124999835,left,-1.5,0,0,0.3429741240001931,3,001,2023-09-01_11h59.14.027,Adaptive_Staircase,2023.1.3,None,
38,0.5,2.0,44.5884340839998,45.07744774999992,45.07744774999992,45.083558792000076,45.36692554199999,right,2.0,1,1,0.5171836240001539,3,001,2023-09-01_11h59.14.027,Adaptive_Staircase,2023.1.3,None,
39,0.5,2.0,45.60542779199977,46.09430324999994,46.09430324999994,46.100397666999925,46.3841052089997,left,-2.0,1,1,0.45403620699971725,3,001,2023-09-01_11h59.14.027,Adaptive_Staircase,2023.1.3,None,
40,0.5,2.0,46.56178220899983,47.05130650000001,47.05130650000001,47.05130650000001,47.344913833999726,left,-2.0,1,1,0.3772863320000397,3,001,2023-09-01_11h59.14.027,Adaptive_Staircase,2023.1.3,None,
41,0.5,1.5,47.44015241699981,47.92793249999977,47.92793249999977,47.93416524999975,48.21727312499979,right,1.5,1,1,0.45957408200001737,3,001,2023-09-01_11h59.14.027,Adaptive_Staircase,2023.1.3,None,
42,0.5,1.5,48.40595058400004,48.894405000000006,48.894405000000006,48.90042949999997,49.18820004200006,left,-1.5,1,1,0.2793425820000266,3,001,2023-09-01_11h59.14.027,Adaptive_Staircase,2023.1.3,None,
43,0.5,1.5,49.18820004200006,49.67767729199977,49.67767729199977,49.68398900000011,49.96704558400006,right,1.5,1,1,0.3525201659999766,3,001,2023-09-01_11h59.14.027,Adaptive_Staircase,2023.1.3,None,
44,0.5,1.0,50.04477404199997,50.52776637499983,50.52776637499983,50.53396829199983,50.81688766699972,left,-1.0,1,1,0.3336591240004054,3,001,2023-09-01_11h59.14.027,Adaptive_Staircase,2023.1.3,None,
45,0.5,1.0,50.87845170899982,51.36112579199971,51.36112579199971,51.36715829200011,,right,1.0,1,1,0.24046483199981594,3,001,2023-09-01_11h59.14.027,Adaptive_Staircase,2023.1.3,None,
46,0.5,1.0,51.61210133399982,52.10150324999995,52.10150324999995,52.10150324999995,,right,1.0,0,0,0.2786736660000315,3,001,2023-09-01_11h59.14.027,Adaptive_Staircase,2023.1.3,None,
47,0.5,1.5,52.393804917000125,52.884245499999906,52.884245499999906,52.884245499999906,53.18295445900003,right,1.5,1,1,0.45463999999992666,3,001,2023-09-01_11h59.14.027,Adaptive_Staircase,2023.1.3,None,
48,0.5,1.5,53.356889124999725,53.84461320899982,53.84461320899982,53.85072454200008,,left,-1.5,0,0,0.21897170700003699,3,001,2023-09-01_11h59.14.027,Adaptive_Staircase,2023.1.3,None,
49,0.5,2.0,54.078220667000096,54.5677234169998,54.5677234169998,54.5677234169998,54.86198408400014,right,2.0,1,1,0.5947931660002723,3,001,2023-09-01_11h59.14.027,Adaptive_Staircase,2023.1.3,None,
